公元前,汉,公元后,注释
文言文,古文,白话文,白话文
马,,,
驺,车夫/马夫,司机,古代给贵族掌管车马的人。
驺吾,,,驺吾是古代中国神话传说中的仁兽。
驳,,,"《山海经》中一种白马神兽。
驳运与驳卸，船运与船卸物。
颜色浑浊不均匀。
否定别人不同的观点。"
驷,,,由四匹披甲的马所驾的战车。
骟,,,
骥,,千里马,"「老 骥伏枥，志在千里」千里马。
「骥足」杰出的人才。"
骑,,,
驹,,,
骖,,,
𬴂,,,
骄,,,
骅,,,
骠,,,
骐,,,
骝,,,
骃,,,
骓,,,
骢,,,
骜,,,桀骜不驯
驽,,,
骁,,,
驮,,,
妈,,,
骂,,,
吗,,,
蚂,,,
